T1,38420.894,38420.894,38420.894,38420.894
T2,1499631.11,1499631.11,1499631.11,1499631.11
T3,683791,683791,683791,683791
T4,186809,186809,186809,186809
T5,116966,116966,116966,116966
T6,281318,281318,281318,281318
T7,254254,254254,254254,254254
T8,867160,867160,867160,867160
T9,368176,368176,368176,368176
T10,234260,234260,234260,234260
T11,265729,265729,265729,265729
T12,185398,185398,185398,185398
T13,1852378,1852378,1852378,1852378
T14,97800,97800,97800,97800
T15,212260,212260,212260,212260
T16,125800,125800,125800,125800
T17,286388,286388,286388,286388
T18,6825199,6825199,6825199,6825199
T19,90277.69,90277.69,90277.69,90277.69
T20,163090.35,163090.35,163090.35,163090.35
T21,117330.19,117330.19,117330.19,117330.19
T22,43985.64,43985.64,43985.64,43985.64
T23,2662,2662,2662,2662
T24,1966,1966,1966,1966
T25,8319,8319,8319,8319
T26,7282,7282,7282,7282
T27,7242,7242,7242,7242
T28,3792,3792,3792,3792
T29,16551,16551,16551,16551
T30,3080,3080,3080,3080
T31,2857,2857,2857,2857
T32,19143,19143,19143,19143
T33,8426,8426,8426,8426
T34,9178,9178,9178,9178
T35,3234,3234,3234,3234
T36,1131,1131,1131,1131
T37,6109,6109,6109,6109
T38,745,745,745,745
T39,1006,1006,1006,1006
T40,1234,1234,1234,1234
T41,1932,1932,1932,1932
T42,2050,2050,2050,2050
T43,7646,7646,7646,7646
T44,48100,48100,48100,48100
T45,30400,30400,30400,30400
T46,11765,11765,11765,11765
T47,10127,10127,10127,10127
T48,6422,6422,6422,6422
T49,35387,35387,35387,35387
T50,4513477,4513477,4513477,4513477
T51,167164,167164,167164,167164
T52,23705,23705,23705,23705
T53,34619,34619,34619,34619
T54,822194,822194,822194,822194
T55,100421,100421,100421,100421
T56,77531,77531,77531,77531
T57,931433,931433,931433,931433
T58,534590,534590,534590,534590
T59,484510,484510,484510,484510
T60,559985,559985,559985,559985
T61,331909,331909,331909,331909
T62,277106,277106,277106,277106
T63,525526,525526,525526,525526
T64,172083,172083,172083,172083
T65,218175,218175,218175,218175
T66,205679,205679,205679,205679
T67,52002944,52002944,52002944,52002944
T68,4293622,4293622,4293622,4293622
T69,283174,283174,283174,283174
T70,7773650,7773650,7773650,7773650
T71,2722668,2722668,2722668,2722668
T72,3187525,3187525,3187525,3187525
T73,1.4583,1.4583,1.4583,1.4583
T74,1.5469,1.5469,1.5469,1.5469
T75,1.6872,1.6872,1.6872,1.6872
T76,1.6508,1.6508,1.6508,1.6508
T77,0.9983,0.9983,0.9983,0.9983
T78,0.7329,0.7329,0.7329,0.7329
T79,25975175,25975175,25975175,25975175
T80,6727747,6727747,6727747,6727747
T81,4631878,4631878,4631878,4631878
T82,792452,792452,792452,792452
T83,19045083,19045083,19045083,19045083
T84,2254496,2254496,2254496,2254496
T85,616909,616909,616909,616909
T86,4.012,4.012,4.012,4.012
T87,0.653,0.653,0.653,0.653
T88,0.733,0.733,0.733,0.733
T89,0.365,0.365,0.365,0.365
T90,0.593,0.593,0.593,0.593
